Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,2.97,3.01,2.87,2.87,11066100,2.87
2015-12-30,2.99,3.04,2.93,2.98,9989300,2.98
2015-12-29,3.04,3.06,2.97,3.00,15285000,3.00
2015-12-28,2.91,3.02,2.86,3.00,15926600,3.00
2015-12-24,2.88,3.00,2.86,2.92,11890900,2.92
2015-12-23,2.76,2.94,2.75,2.83,30224400,2.83
2015-12-22,2.55,2.78,2.54,2.77,24538700,2.77
2015-12-21,2.47,2.53,2.43,2.53,6866600,2.53
2015-12-18,2.51,2.55,2.42,2.45,17678300,2.45
2015-12-17,2.52,2.60,2.52,2.56,11325600,2.56
2015-12-16,2.39,2.55,2.37,2.54,19178900,2.54
2015-12-15,2.35,2.43,2.32,2.36,7314500,2.36
2015-12-14,2.36,2.39,2.30,2.34,7625700,2.34
2015-12-11,2.41,2.47,2.36,2.36,11883600,2.36
2015-12-10,2.36,2.50,2.33,2.45,13066300,2.45
2015-12-09,2.37,2.40,2.32,2.35,8436700,2.35
2015-12-08,2.34,2.40,2.25,2.39,9055500,2.39
2015-12-07,2.26,2.36,2.21,2.36,8375900,2.36
2015-12-04,2.23,2.29,2.21,2.28,4572600,2.28
2015-12-03,2.25,2.31,2.20,2.23,7007400,2.23
2015-12-02,2.31,2.34,2.23,2.27,7491700,2.27
2015-12-01,2.36,2.37,2.31,2.34,5635200,2.34
2015-11-30,2.34,2.37,2.25,2.36,9842700,2.36
2015-11-27,2.37,2.38,2.32,2.33,2601700,2.33
2015-11-25,2.36,2.40,2.31,2.38,6914800,2.38
2015-11-24,2.20,2.40,2.17,2.34,15859700,2.34
2015-11-23,2.22,2.24,2.18,2.22,4863200,2.22
2015-11-20,2.14,2.25,2.13,2.22,10727100,2.22
2015-11-19,2.10,2.16,2.09,2.14,4704300,2.14
2015-11-18,1.99,2.15,1.98,2.12,9384700,2.12
2015-11-17,2.01,2.04,1.97,1.98,5825100,1.98
2015-11-16,1.99,2.02,1.95,1.99,4149700,1.99
2015-11-13,1.99,2.04,1.94,1.99,5920200,1.99
2015-11-12,2.05,2.07,2.00,2.00,3576800,2.00
2015-11-11,2.02,2.09,2.02,2.07,3532100,2.07
2015-11-10,2.09,2.10,2.02,2.02,6162200,2.02
2015-11-09,2.15,2.18,2.10,2.11,6231200,2.11
2015-11-06,2.19,2.21,2.13,2.15,8997100,2.15
2015-11-05,2.21,2.24,2.17,2.20,4302200,2.20
2015-11-04,2.27,2.30,2.18,2.20,8205300,2.20
2015-11-03,2.16,2.29,2.16,2.28,8705800,2.28
2015-11-02,2.13,2.19,2.11,2.19,5858700,2.19
2015-10-30,2.14,2.15,2.12,2.12,4897100,2.12
2015-10-29,2.15,2.18,2.11,2.13,4500400,2.13
2015-10-28,2.14,2.20,2.12,2.18,6950600,2.18
2015-10-27,2.12,2.16,2.10,2.15,5755600,2.15
2015-10-26,2.21,2.21,2.12,2.15,6313500,2.15
2015-10-23,2.10,2.21,2.10,2.21,9564200,2.21
2015-10-22,2.10,2.16,2.09,2.14,8208400,2.14
2015-10-21,2.02,2.12,2.01,2.10,14944100,2.10
2015-10-20,2.00,2.03,1.97,2.02,5584200,2.02
2015-10-19,1.91,2.01,1.91,2.01,10670800,2.01
2015-10-16,2.00,2.00,1.89,1.94,21251600,1.94
2015-10-15,1.97,2.06,1.95,1.97,27327100,1.97
2015-10-14,1.92,1.96,1.92,1.95,10184300,1.95
2015-10-13,1.87,1.94,1.86,1.92,6698400,1.92
2015-10-12,1.96,1.96,1.85,1.87,7686600,1.87
2015-10-09,1.92,1.96,1.89,1.96,8629100,1.96
2015-10-08,1.87,1.95,1.85,1.93,9198700,1.93
2015-10-07,1.82,1.87,1.82,1.86,7859200,1.86
2015-10-06,1.80,1.86,1.80,1.83,8665500,1.83
2015-10-05,1.82,1.87,1.77,1.80,7595600,1.80
2015-10-02,1.76,1.83,1.72,1.83,7146100,1.83
2015-10-01,1.77,1.77,1.72,1.74,5531700,1.74
2015-09-30,1.70,1.72,1.68,1.72,5739500,1.72
2015-09-29,1.67,1.69,1.65,1.67,7005300,1.67
2015-09-28,1.69,1.70,1.66,1.66,5693100,1.66
2015-09-25,1.75,1.75,1.68,1.71,5644600,1.71
2015-09-24,1.68,1.73,1.66,1.72,11247700,1.72
2015-09-23,1.76,1.78,1.69,1.70,9649200,1.70
2015-09-22,1.80,1.84,1.72,1.73,9975200,1.73
2015-09-21,1.87,1.90,1.81,1.81,5377800,1.81
2015-09-18,1.87,1.92,1.85,1.87,11814000,1.87
2015-09-17,1.90,1.94,1.87,1.89,5831600,1.89
2015-09-16,1.87,1.90,1.85,1.89,4928300,1.89
2015-09-15,1.84,1.87,1.81,1.86,6524400,1.86
2015-09-14,2.00,2.00,1.81,1.82,16458500,1.82
2015-09-11,1.88,2.14,1.81,2.01,31010300,2.01
2015-09-10,1.84,1.88,1.83,1.84,4290400,1.84
2015-09-09,1.90,1.97,1.83,1.85,12612300,1.85
2015-09-08,1.85,1.88,1.83,1.88,6009500,1.88
2015-09-04,1.76,1.84,1.76,1.82,6725300,1.82
2015-09-03,1.76,1.85,1.76,1.79,7154200,1.79
2015-09-02,1.75,1.77,1.72,1.77,6306100,1.77
2015-09-01,1.77,1.82,1.71,1.71,8470700,1.71
2015-08-31,1.82,1.87,1.79,1.81,6516000,1.81
2015-08-28,1.75,1.87,1.75,1.85,10924600,1.85
2015-08-27,1.74,1.84,1.74,1.78,11839300,1.78
2015-08-26,1.69,1.73,1.66,1.72,10715300,1.72
2015-08-25,1.82,1.82,1.66,1.66,12097700,1.66
2015-08-24,1.69,1.83,1.65,1.75,17217400,1.75
2015-08-21,1.68,1.80,1.68,1.78,12529500,1.78
2015-08-20,1.79,1.80,1.70,1.70,13745700,1.70
2015-08-19,1.80,1.81,1.76,1.80,7441200,1.80
2015-08-18,1.79,1.82,1.75,1.80,9751900,1.80
2015-08-17,1.82,1.88,1.80,1.80,9062400,1.80
2015-08-14,1.80,1.85,1.79,1.84,6183400,1.84
2015-08-13,1.90,1.91,1.79,1.79,7839700,1.79
2015-08-12,1.88,1.93,1.84,1.90,8521200,1.90
2015-08-11,1.91,1.93,1.88,1.90,7479200,1.90
2015-08-10,1.92,1.98,1.82,1.93,29926200,1.93
2015-08-07,2.10,2.14,2.06,2.09,7680800,2.09
2015-08-06,2.15,2.17,2.10,2.11,9475000,2.11
2015-08-05,2.11,2.21,2.10,2.16,13236000,2.16
2015-08-04,2.18,2.18,2.05,2.13,14328400,2.13
2015-08-03,1.93,2.20,1.90,2.20,26218200,2.20
2015-07-31,1.94,1.99,1.92,1.93,7733700,1.93
2015-07-30,1.94,1.99,1.88,1.93,15837400,1.93
2015-07-29,1.77,1.99,1.76,1.96,25582200,1.96
2015-07-28,1.62,1.77,1.62,1.77,14614600,1.77
2015-07-27,1.67,1.70,1.61,1.62,11916500,1.62
2015-07-24,1.76,1.77,1.65,1.67,16478400,1.67
2015-07-23,1.80,1.81,1.75,1.76,10641900,1.76
2015-07-22,1.80,1.81,1.76,1.79,16043400,1.79
2015-07-21,1.82,1.83,1.78,1.80,15034500,1.80
2015-07-20,1.82,1.84,1.77,1.80,12142400,1.80
2015-07-17,1.87,1.90,1.74,1.79,28127100,1.79
2015-07-16,1.97,2.00,1.87,1.87,20653300,1.87
2015-07-15,2.07,2.09,1.95,1.96,13517800,1.96
2015-07-14,2.03,2.06,1.97,2.05,15812300,2.05
2015-07-13,1.97,1.99,1.95,1.96,9080900,1.96
2015-07-10,2.00,2.03,1.95,1.96,17520800,1.96
2015-07-09,2.04,2.06,1.93,1.98,23378200,1.98
2015-07-08,2.07,2.07,2.01,2.01,15302900,2.01
2015-07-07,2.04,2.14,2.02,2.09,46418700,2.09
2015-07-06,2.46,2.54,2.44,2.47,20349400,2.47
2015-07-02,2.43,2.63,2.39,2.53,31185900,2.53
2015-07-01,2.47,2.48,2.36,2.42,19375000,2.42
2015-06-30,2.43,2.43,2.35,2.40,19381300,2.40
2015-06-29,2.41,2.42,2.31,2.34,22971500,2.34
2015-06-26,2.54,2.55,2.37,2.47,97054200,2.47
2015-06-25,2.62,2.66,2.57,2.58,18360200,2.58
2015-06-24,2.60,2.66,2.57,2.62,17516700,2.62
2015-06-23,2.62,2.64,2.55,2.61,17919600,2.61
2015-06-22,2.61,2.67,2.58,2.62,19410100,2.62
